global_step,episode_idx,ep_reward,recent_mean_top15of20,lr,entropy_coef,rollout_horizon,phase_idx
1000,0,-60.36585365853752,-60.36585365853752,5e-05,0.001,4096,0
2000,1,-57.92880258899761,-59.147328123767565,5e-05,0.001,4096,0
3000,2,-58.18815331010541,-58.82760318588018,5e-05,0.001,4096,0
4000,3,-58.90410958904197,-58.84672978667063,5e-05,0.001,4096,0
5000,4,-48.88178913738105,-56.853741656812716,5e-05,0.001,4096,0
6000,5,-47.16981132075539,-55.23975326746983,5e-05,0.001,4096,0
7000,6,-54.397394136808586,-55.11941624880394,5e-05,0.001,4096,0
8000,7,-51.04895104895177,-54.61060809882241,5e-05,0.001,4096,0
9000,8,-44.055944055944735,-53.437867649613786,5e-05,0.001,4096,0
10000,9,-47.69230769230841,-52.86331165388325,5e-05,0.001,4096,0
11000,10,-45.017182130584814,-52.1500271517652,5e-05,0.001,4096,0
12000,11,-47.882736156352465,-51.79441956881414,5e-05,0.001,4096,0
13000,12,-33.55481727574794,-50.39137323857828,5e-05,0.001,4096,0
14000,13,-38.7755102040822,-49.56166873611428,5e-05,0.001,4096,0
15000,14,-65.31791907514508,-50.612085425383,5e-05,0.001,4096,0
16000,15,-36.17021276595784,-48.668905004770515,5e-05,0.001,4096,0
17000,16,-38.3116883116889,-47.198627314980605,5e-05,0.001,4096,0
18000,17,-13.043478260869339,-44.141251893102435,5e-05,0.001,4096,0
19000,18,-18.72791519434614,-41.51056935205181,5e-05,0.001,4096,0
20000,19,-48.412698412698774,-40.87616240696523,5e-05,0.001,4096,0
21000,20,-12.408759124087327,-38.07692007278381,5e-05,0.001,4096,0
22000,21,-65.03496503496554,-38.07692007278381,5e-05,0.001,4096,0
23000,22,-65.61604584527274,-38.07692007278381,5e-05,0.001,4096,0
24000,23,-62.58503401360595,-38.07692007278381,5e-05,0.001,4096,0
25000,24,-60.854092526690906,-38.44462707274565,5e-05,0.001,4096,0
26000,25,-26.0563380281689,-37.03706218657321,5e-05,0.001,4096,0
27000,26,-31.506849315068656,-35.511025865123884,5e-05,0.001,4096,0
28000,27,-24.13793103448263,-33.716957864159276,5e-05,0.001,4096,0
29000,28,-39.18918918918953,-33.39250753970892,5e-05,0.001,4096,0
30000,29,-58.33333333333376,-34.10190924911061,5e-05,0.001,4096,0
31000,30,18.852459016392388,-29.843933172645468,5e-05,0.001,4096,0
32000,31,-26.666666666667005,-28.42952853999977,5e-05,0.001,4096,0
33000,32,-11.392405063291354,-26.952034392502664,5e-05,0.001,4096,0
34000,33,-20.57761732852036,-25.738841534131875,5e-05,0.001,4096,0
35000,34,-29.765886287626145,-23.834345064418034,5e-05,0.001,4096,0
36000,35,-48.63013698630196,-24.66500667910764,5e-05,0.001,4096,0
37000,36,-31.726907630522877,-24.22602130036324,5e-05,0.001,4096,0
38000,37,-67.10526315789514,-27.245344971860867,5e-05,0.001,4096,0
